MasterID,Site_Name,Site_Type,Site_Address1,Site_Address2,Site_City,Site_State,Site_Zip,Site_Phone,Ext,Contact_First_Name,Contact_Last_Name,Contact_Phone,Sponsoring_Organization,Start_Date,End_Date,Days_of_operation,Comments,Breakfast_Time,Lunch_Time,Snack_Time_AM,Snack_Time_PM,Supper_Time,Site_Location,Site_Program,State_Site_ID_Number,State_Sponsor_ID_Number,sooX,sooY,SOO,Cycle,Country,RecordStatus,FNSID,Created,Season,County,LocationType,Confidence,Mapped_Status,MapX,MapY,Service_Model
406159,Tri-Tech Skills Center,Open,5929 West Metaline Ave.,,Kennewick,WA,99336,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/14/2024,7/2/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,7:20AM - 7:45AM,11:30AM - 12:00PM,,,,,SFSP,661144,159891,,,WA,19,USA,U,338896,9/4/2024 0:00,2024,Benton County,A,100,M,-119.2003447,46.21962936,Eat On-Site
406161,Benson Village Apartments,Open,10820 SE 211th Pl,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:10PM - 12:45PM,,,,,SFSP,683523,159941,,,WA,19,USA,U,41365,9/4/2024 0:00,2024,King County,A,100,M,-122.1939026,47.41281899,Eat On-Site
406160,Appian Way Apartments,Open,25818 26th Pl. S.,(Community Center),Kent,WA,98032,2533737594,,Ruth,Nowak,2533737594,Kent School District,7/29/2024,8/8/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:00AM - 12:00PM,,,,,SFSP,659338,159941,,,WA,19,USA,U,41042,9/4/2024 0:00,2024,King County,A,100,M,-122.298567,47.36991226,Eat On-Site
406156,Park Middle School,Open,1011 W. 10th Ave.,,Kennewick,WA,99337,5092225073,,Christine,Benson,5092225073,Kennewick School District,6/20/2024,7/13/2024,"M, T, W, TH",Please confirm mealtimes with site.,7:30AM - 8:00AM,11:00AM - 11:30AM,,,,,SFSP,665519,159891,,,WA,19,USA,U,338893,9/4/2024 0:00,2024,Benton County,A,99.52,M,-119.1316737,46.19842318,Eat On-Site
406163,Brookside Apartments,Open,10841 SE Kent-Kangley Rd.,,Kent,WA,98030,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,11:30AM - 11:50AM,,,,,SFSP,664425,159941,,,WA,19,USA,U,41688,9/4/2024 0:00,2024,King County,A,100,M,-122.1951657,47.36988188,Eat On-Site
406164,Cascade Housing,Open,20402 106th Ave. SE,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 1:00PM,,,,,SFSP,659081,159941,,,WA,19,USA,U,355710,9/4/2024 0:00,2024,King County,A,100,M,-122.1994915,47.41905961,Eat On-Site
406167,Covington Elementary,Open,25811 S.E. 156th Avenue,,Covington,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/18/2024,"M, T, W, TH",Please confirm mealtimes with site.,,11:00AM - 12:00PM,,,,,SFSP,663843,159941,,,WA,19,USA,U,206075,9/4/2024 0:00,2024,King County,A,99.88,M,-122.133701,47.37058317,Eat On-Site
406165,Cedar Heights Middle School,Open,19640 S.E. 272nd St.,,Covington,WA,98042,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,7/12/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,1:00PM - 1:30PM,,,,,SFSP,661675,159941,,,WA,19,USA,U,61403,9/4/2024 0:00,2024,King County,A,100,M,-122.078365,47.3581394,Eat On-Site
406166,Chestnut Ridge Park,Open,9901 S. 203rd St,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 12:30PM,,,,,SFSP,664686,159941,,,WA,19,USA,U,42117,9/4/2024 0:00,2024,King County,A,100,M,-122.2087049,47.42031398,Eat On-Site
406162,Birch Creek (previously known as Springwood Housing),Open,12910 S E 273rd St,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024,"M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 1:00PM,,,,,SFSP,659103,159941,,,WA,19,USA,U,41438,9/4/2024 0:00,2024,King County,A,86,T,-122.1621957,47.35703484,Eat On-Site
